,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_reduce_dim,param_vectorizer__analyzer,param_vectorizer__min_df,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15,0.380764246,0.015285406,11.77663536,0.654518437,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.968321014,0.973600845,0.967265048,0.969344609,0.974603175,0.970625528,0.002929525,13,0.970673712,0.96988111,0.970409511,0.972002113,0.97280169,0.971153627,0.001080682
14,0.427183962,0.034685466,12.19355688,0.579938611,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.96937698,0.973600845,0.96937698,0.963002114,0.974603175,0.969991547,0.004095322,14,0.97014531,0.969352708,0.97014531,0.97120972,0.968840771,0.969938764,0.000806189
6,13.33615665,2.632630148,11.88751779,0.620877724,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.973600845,0.972544879,0.967265048,0.963002114,0.971428571,0.969568893,0.003924226,15,0.967239102,0.965389696,0.964068692,0.966983624,0.962767362,0.965289695,0.001704852
7,12.37006979,1.637898674,12.12582617,0.638308749,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.968321014,0.971488912,0.961985216,0.972515856,0.968253968,0.968512257,0.003677516,16,0.96988111,0.9667107,0.967503303,0.967776017,0.968312649,0.968036756,0.001057236
23,0.394185257,0.029580855,12.0446774,0.751281495,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.96937698,0.968321014,0.961985216,0.973572939,0.968253968,0.96830093,0.003710986,17,0.969352708,0.965389696,0.968295905,0.968304279,0.968312649,0.967931047,0.001333989
22,0.430772114,0.021857317,11.97649341,0.714890908,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.973600845,0.970432946,0.965153115,0.960887949,0.968253968,0.967666948,0.004370169,18,0.967503303,0.9667107,0.96327609,0.968040148,0.964615791,0.966029206,0.001803257
12,0.486246872,0.014681431,0.247708797,0.013928202,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,3,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.966209081,0.96937698,0.967265048,0.963002114,0.971428571,0.967455621,0.002859072,19,0.968295905,0.970673712,0.965918098,0.969360803,0.967784526,0.968406609,0.001590105
4,21.00833683,3.860976911,0.306614494,0.051096316,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,3,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.972544879,0.96092925,0.963041183,0.966173362,0.97037037,0.966610313,0.004349507,20,0.966446499,0.964861295,0.963540291,0.96064448,0.961711117,0.963440736,0.002091561
20,0.477140951,0.014697983,0.236433554,0.015408505,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,3,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.971488912,0.96092925,0.963041183,0.966173362,0.97037037,0.966398986,0.004072891,21,0.966182299,0.965918098,0.964332893,0.961172742,0.962503301,0.964021866,0.001938218
13,0.453281307,0.02488919,0.228854227,0.009218964,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,5,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.966209081,0.968321014,0.963041183,0.960887949,0.972486772,0.966187658,0.00405355,22,0.971730515,0.964597094,0.965389696,0.96856841,0.9706892,0.968194983,0.002816913
5,15.96130257,2.723544353,0.312782717,0.030790699,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,5,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.966209081,0.965153115,0.961985216,0.958773784,0.968253968,0.964074387,0.003335241,23,0.966974901,0.959048877,0.960369881,0.964342314,0.965672036,0.963281602,0.003061824
21,0.433519602,0.011945664,0.216557503,0.012675785,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",word,5,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.965153115,0.965153115,0.96092925,0.958773784,0.97037037,0.964074387,0.003997305,23,0.966182299,0.960369881,0.961162483,0.964606445,0.964615791,0.96338738,0.002229894
